"","Sell Order","From","Quantity","Buy Price","Net Costs","Take To","Sell Price","Net Sales","Gross Margin","Sell Taxes","Net Profit","Profit Per Item","R.O.I","Total Volume (m3)"
"","Atron Aurora Universalis SKIN","Rens","1","100,000.00","100,000.00","Dodixie","116,011.33","116,011.33","16,011.33","3,248.32","12,763.01","12,763.01","12.8%","0.01"
"","Dual Modal Light Laser I","Dodixie","1","5,100.00","5,100.00","Jita","18,000.19","18,000.19","12,900.19","504.01","12,396.18","12,396.18","243.1%","5.00"
"","Large I-b Polarized Structural Regenerator","Dodixie","2","65,000.00","130,000.00","Hek","79,500.00","159,000.00","29,000.00","4,452.00","24,548.00","12,274.00","18.9%","100.00"
"","Heavy Afocal Maser I","Hek","1","51,000.00","51,000.00","Jita","65,003.02","65,003.02","14,003.02","1,820.08","12,182.94","12,182.94","23.9%","10.00"
"","Upgraded Armor Explosive Hardener I","Hek","1","169,999.00","169,999.00","Amarr","187,400.13","187,400.13","17,401.13","5,247.20","12,153.93","12,153.93","7.1%","5.00"
"","Praetor I","Hek","1","90,000.00","90,000.00","Jita","105,006.81","105,006.81","15,006.81","2,940.19","12,066.62","12,066.62","13.4%","25.00"
"","Anode Light Neutron Particle Cannon I","Dodixie","1","129,000.00","129,000.00","Jita","145,000.51","145,000.51","16,000.51","4,060.01","11,940.50","11,940.50","9.3%","5.00"
"","200mm Light Prototype Automatic Cannon","Dodixie","1","100,000.00","100,000.00","Hek","115,000.01","115,000.01","15,000.01","3,220.00","11,780.01","11,780.01","11.8%","5.00"
"","Dual Modulated Light Energy Beam I","Dodixie","1","159,000.00","159,000.00","Jita","175,696.15","175,696.15","16,696.15","4,919.49","11,776.66","11,776.66","7.4%","5.00"
"","Heavy Tapered Capacitor Infusion I","Dodixie","1","26,023.61","26,023.61","Jita","38,800.00","38,800.00","12,776.39","1,086.40","11,689.99","11,689.99","44.9%","20.00"
"","Mega Afocal Maser I","Hek","1","260,000.00","260,000.00","Jita","279,000.00","279,000.00","19,000.00","7,812.00","11,188.00","11,188.00","4.3%","20.00"
"","400mm Rolled Tungsten Compact Plates","Dodixie","9","105,999.99","953,999.91","Jita","120,004.72","1,080,042.48","126,042.57","30,241.19","95,801.38","10,644.60","10.0%","90.00"
"","400mm Rolled Tungsten Compact Plates","Dodixie","9","105,999.99","953,999.91","Hek","120,000.00","1,080,000.00","126,000.09","30,240.00","95,760.09","10,640.01","10.0%","90.00"
"","Decayed Small Shield Extender Mutaplasmid","Dodixie","1","9,800.00","9,800.00","Rens","21,000.01","21,000.01","11,200.01","588.00","10,612.01","10,612.01","108.3%","1.00"
"","Large 'Accommodation' Vestment Reconstructer I","Dodixie","1","10,000.00","10,000.00","Jita","21,155.20","21,155.20","11,155.20","592.35","10,562.85","10,562.85","105.6%","50.00"
"","Scorched Microgravimeter","Dodixie","40","150,000.00","6,000,000.00","Jita","165,014.53","6,600,581.20","600,581.20","184,816.27","415,764.93","10,394.12","6.9%","0.40"
"","Medium Automated Structural Restoration","Hek","1","60,000.00","60,000.00","Jita","72,381.67","72,381.67","12,381.67","2,026.69","10,354.98","10,354.98","17.3%","10.00"
"","5th Tier Overseer's Personal Effects","Rens","1","136,459.00","136,459.00","Dodixie","151,000.00","151,000.00","14,541.00","4,228.00","10,313.00","10,313.00","7.6%","10.00"
"","Upgraded Armor Thermal Hardener I","Dodixie","7","164,999.00","1,154,993.00","Jita","180,000.01","1,260,000.07","105,007.07","35,280.00","69,727.07","9,961.01","6.0%","35.00"
"","Limited Armor Kinetic Hardener I","Jita","8","165,113.99","1,320,911.92","Dodixie","180,010.21","1,440,081.68","119,169.76","40,322.29","78,847.47","9,855.93","6.0%","40.00"
"","Apocalypse Exoplanets Hunter SKIN","Dodixie","1","10,000.00","10,000.00","Jita","20,000.00","20,000.00","10,000.00","560.00","9,440.00","9,440.00","94.4%","0.01"
"","Datacore - Minmatar Starship Engineering","Hek","16","50,163.12","802,609.92","Jita","61,303.22","980,851.52","178,241.60","27,463.84","150,777.76","9,423.61","18.8%","1.60"
"","Neural Network Analyzer","Dodixie","10","185,000.00","1,850,000.00","Amarr","200,000.00","2,000,000.00","150,000.00","56,000.00","94,000.00","9,400.00","5.1%","1.00"
"","Women's Permaband Tour Cap","Rens","1","15,000.00","15,000.00","Jita","25,000.02","25,000.02","10,000.02","700.00","9,300.02","9,300.02","62.0%","0.10"
"","Federation Navy Sergeant Insignia II","Rens","2","15,000.00","30,000.00","Jita","25,000.00","50,000.00","20,000.00","1,400.00","18,600.00","9,300.00","62.0%","0.20"
"","Federation Navy Sergeant Major Insignia I","Dodixie","5","20,000.00","100,000.00","Jita","30,000.00","150,000.00","50,000.00","4,200.00","45,800.00","9,160.00","45.8%","0.50"
"","Limited Energized Armor Layering Membrane I","Dodixie","2","26,000.00","52,000.00","Jita","36,000.27","72,000.54","20,000.54","2,016.02","17,984.52","8,992.26","34.6%","10.00"
"","Large I-b Polarized Structural Regenerator","Dodixie","2","50,000.00","100,000.00","Amarr","60,600.00","121,200.00","21,200.00","3,393.60","17,806.40","8,903.20","17.8%","100.00"
"","Dual Heavy Anode Pulse Particle Stream I","Dodixie","1","10,558.00","10,558.00","Amarr","20,000.00","20,000.00","9,442.00","560.00","8,882.00","8,882.00","84.1%","20.00"
"","Faint Scoped Warp Disruptor","Hek","6","10,605.05","63,630.30","Jita","20,000.05","120,000.30","56,370.00","3,360.01","53,009.99","8,835.00","83.3%","30.00"
"","Rejected Ship Replacement Program Request","Dodixie","1","1,000.00","1,000.00","Jita","10,000.18","10,000.18","9,000.18","280.01","8,720.17","8,720.17","872.0%","3.00"
"","Fullerite-C32","Hek","1,000","13,100.00","13,100,000.00","Jita","22,331.05","22,331,050.00","9,231,050.00","625,269.40","8,605,780.60","8,605.78","65.7%","5,000.00"
"","Tristan Exoplanets Hunter SKIN","Amarr","1","40,000.00","40,000.00","Dodixie","50,000.00","50,000.00","10,000.00","1,400.00","8,600.00","8,600.00","21.5%","0.01"
"","Federation Navy Command Sergeant Major Insignia I","Rens","5","40,000.00","200,000.00","Jita","50,000.00","250,000.00","50,000.00","7,000.00","43,000.00","8,600.00","21.5%","0.50"
"","Republic Fleet Private Insignia V","Rens","1","40,000.00","40,000.00","Jita","50,000.00","50,000.00","10,000.00","1,400.00","8,600.00","8,600.00","21.5%","0.10"
"","400mm Crystalline Carbonide Restrained Plates","Dodixie","1","112,950.00","112,950.00","Jita","125,000.01","125,000.01","12,050.01","3,500.00","8,550.01","8,550.01","7.6%","10.00"
"","100MN Afterburner I","Dodixie","1","100,000.00","100,000.00","Amarr","111,539.69","111,539.69","11,539.69","3,123.11","8,416.58","8,416.58","8.4%","50.00"
"","Warp Disruptor I","Amarr","9","13,077.78","117,700.02","Jita","22,000.15","198,001.35","80,301.33","5,544.04","74,757.29","8,306.37","63.5%","45.00"
"","Contaminated Nanite Compound","Jita","212","90,001.40","19,080,296.80","Rens","101,000.01","21,412,002.12","2,331,705.32","599,536.06","1,732,169.26","8,170.61","9.1%","2.12"
"","Heavy Modal Laser I","Dodixie","2","60,000.00","120,000.00","Jita","70,002.01","140,004.02","20,004.02","3,920.11","16,083.91","8,041.95","13.4%","20.00"
"","Compact Entropic Radiation Sink","Jita","4","11,500.75","46,003.00","Amarr","20,001.00","80,004.00","34,001.00","2,240.11","31,760.89","7,940.22","69.0%","20.00"
"","Talocan Stasis Inverter","Dodixie","1","50,000.00","50,000.00","Jita","59,602.00","59,602.00","9,602.00","1,668.86","7,933.14","7,933.14","15.9%","0.10"
"","Decayed Small Shield Extender Mutaplasmid","Jita","3","12,500.00","37,500.00","Rens","21,000.01","63,000.03","25,500.03","1,764.00","23,736.03","7,912.01","63.3%","3.00"
"","125mm Light Carbine Repeating Cannon I","Hek","1","138,000.00","138,000.00","Jita","150,001.16","150,001.16","12,001.16","4,200.03","7,801.13","7,801.13","5.7%","5.00"
"","200mm Light Prototype Automatic Cannon","Amarr","1","140,000.00","140,000.00","Rens","152,000.12","152,000.12","12,000.12","4,256.00","7,744.12","7,744.12","5.5%","5.00"
"","Sleeper Micro Circuits","Hek","1","187,777.00","187,777.00","Amarr","201,000.00","201,000.00","13,223.00","5,628.00","7,595.00","7,595.00","4.0%","1.00"
"","Gel-Matrix Biopaste","Dodixie","983","150,000.00","147,450,000.00","Amarr","162,000.00","159,246,000.00","11,796,000.00","4,458,888.00","7,337,112.00","7,464.00","5.0%","5,898.00"
"","Limited Neutron Blaster I","Dodixie","1","36,654.00","36,654.00","Amarr","44,700.00","44,700.00","8,046.00","1,251.60","6,794.40","6,794.40","18.5%","10.00"
"","Imperial Navy Sergeant Insignia III","Rens","12","52,500.00","630,000.00","Jita","61,000.06","732,000.72","102,000.72","20,496.02","81,504.70","6,792.06","12.9%","1.20"
"","Faint Scoped Warp Disruptor","Dodixie","1","10,000.00","10,000.00","Amarr","17,046.03","17,046.03","7,046.03","477.29","6,568.74","6,568.74","65.7%","5.00"
"","Dual Modulated Pulse Energy Beam I","Dodixie","6","45,000.00","270,000.00","Amarr","53,039.01","318,234.06","48,234.06","8,910.55","39,323.51","6,553.92","14.6%","30.00"
"","Fullerite-C32","Hek","1,000","13,100.00","13,100,000.00","Amarr","20,034.85","20,034,850.00","6,934,850.00","560,975.80","6,373,874.20","6,373.87","48.7%","5,000.00"
"","Imperial Navy Sergeant Insignia II","Rens","2","18,000.00","36,000.00","Hek","25,017.77","50,035.54","14,035.54","1,401.00","12,634.54","6,317.27","35.1%","0.20"
"","Imperial Navy Sergeant Insignia II","Rens","2","18,000.00","36,000.00","Dodixie","25,000.00","50,000.00","14,000.00","1,400.00","12,600.00","6,300.00","35.0%","0.20"
"","Contaminated Nanite Compound","Jita","22","95,000.00","2,090,000.00","Hek","104,001.01","2,288,022.22","198,022.22","64,064.62","133,957.60","6,088.98","6.4%","0.22"
"","Faint Scoped Warp Disruptor","Hek","6","10,605.05","63,630.30","Amarr","17,046.03","102,276.18","38,645.88","2,863.73","35,782.15","5,963.69","56.2%","30.00"
"","125mm Light Carbine Repeating Cannon I","Rens","3","139,996.99","419,990.97","Jita","150,001.16","450,003.48","30,012.51","12,600.10","17,412.41","5,804.14","4.1%","15.00"
"","The Yulai Siege YC106","Dodixie","1","4,000.00","4,000.00","Rens","10,000.00","10,000.00","6,000.00","280.00","5,720.00","5,720.00","143.0%","1.00"
"","Large I-b Polarized Structural Regenerator","Dodixie","2","65,000.00","130,000.00","Jita","72,556.01","145,112.02","15,112.02","4,063.14","11,048.88","5,524.44","8.5%","100.00"
"","Kruul's DNA","Hek","6","167.33","1,003.98","Jita","5,674.50","34,047.00","33,043.02","953.32","32,089.70","5,348.28","3196.2%","0.60"
"","Datacore - High Energy Physics","Amarr","263","105,000.00","27,615,000.00","Rens","113,500.00","29,850,500.00","2,235,500.00","835,814.00","1,399,686.00","5,322.00","5.1%","26.30"
"","250mm 'Scout' Accelerator Cannon","Dodixie","1","55,000.00","55,000.00","Amarr","62,018.01","62,018.01","7,018.01","1,736.50","5,281.51","5,281.51","9.6%","10.00"
"","250mm Carbide Railgun I","Rens","1","58,999.99","58,999.99","Jita","66,011.06","66,011.06","7,011.07","1,848.31","5,162.76","5,162.76","8.8%","10.00"
"","Caldari Navy Captain Insignia I","Amarr","1","24,000.00","24,000.00","Jita","30,000.00","30,000.00","6,000.00","840.00","5,160.00","5,160.00","21.5%","0.10"
"","Drone Cerebral Fragment","Amarr","12","60,000.00","720,000.00","Dodixie","67,000.00","804,000.00","84,000.00","22,512.00","61,488.00","5,124.00","8.5%","0.36"
"","Mark I Compact Reactor Control Unit","Dodixie","2","19,233.00","38,466.00","Jita","25,000.07","50,000.14","11,534.14","1,400.00","10,134.14","5,067.07","26.3%","10.00"
"","Talocan Perpetual Clock","Amarr","1","8,000.00","8,000.00","Jita","13,422.00","13,422.00","5,422.00","375.82","5,046.18","5,046.18","63.1%","0.10"
"","Fullerite-C28","Hek","4,780","5,153.37","24,633,108.60","Jita","10,442.10","49,913,238.00","25,280,129.40","1,397,570.66","23,882,558.74","4,996.35","97.0%","9,560.00"
"","Dual Heavy Anode Pulse Particle Stream I","Dodixie","1","10,558.00","10,558.00","Hek","16,000.01","16,000.01","5,442.01","448.00","4,994.01","4,994.01","47.3%","20.00"
"","Dual 425mm 'Scout' Autocannon I","Jita","1","99,999.00","99,999.00","Amarr","108,001.46","108,001.46","8,002.46","3,024.04","4,978.42","4,978.42","5.0%","20.00"
"","Large 'Hope' Hull Reconstructor I","Hek","5","70,000.00","350,000.00","Jita","77,064.64","385,323.20","35,323.20","10,789.05","24,534.15","4,906.83","7.0%","250.00"
"","Kruul's DNA","Rens","1","834.04","834.04","Jita","5,674.50","5,674.50","4,840.46","158.89","4,681.57","4,681.57","561.3%","0.10"
"","Republic Fleet Private Insignia IV","Rens","12","24,500.00","294,000.00","Jita","30,000.00","360,000.00","66,000.00","10,080.00","55,920.00","4,660.00","19.0%","1.20"
"","Exotic Dancers, Male","Dodixie","5","9,999.00","49,995.00","Jita","15,003.40","75,017.00","25,022.00","2,100.48","22,921.52","4,584.30","45.8%","5.00"
"","Imperial Navy Sergeant Insignia II","Rens","4","10,000.00","40,000.00","Amarr","14,958.00","59,832.00","19,832.00","1,675.30","18,156.70","4,539.18","45.4%","0.40"
"","Yan Jung Vellum Etch","Dodixie","3","50,000.00","150,000.00","Jita","56,033.03","168,099.09","18,099.09","4,706.77","13,392.32","4,464.11","8.9%","3.00"
"","Contaminated Nanite Compound","Jita","0","88,998.00","0.00","Dodixie","96,000.01","0.00","0.00","0.00","0.00","4,314.01","4.8%","0.00"
"","Imperial Navy Sergeant Insignia III","Hek","57","55,010.00","3,135,570.00","Jita","61,000.06","3,477,003.42","341,433.42","97,356.10","244,077.32","4,282.06","7.8%","5.70"
"","Caldari Navy Commodore Insignia II","Amarr","25","93,000.00","2,325,000.00","Dodixie","100,000.00","2,500,000.00","175,000.00","70,000.00","105,000.00","4,200.00","4.5%","2.50"
"","Faint Epsilon Scoped Warp Scrambler","Dodixie","1","92,999.84","92,999.84","Jita","99,996.08","99,996.08","6,996.24","2,799.89","4,196.35","4,196.35","4.5%","5.00"
"","250mm Carbide Railgun I","Hek","5","59,995.00","299,975.00","Jita","66,011.06","330,055.30","30,080.30","9,241.55","20,838.75","4,167.75","6.9%","50.00"
"","250mm Carbide Railgun I","Dodixie","2","60,000.00","120,000.00","Jita","66,011.06","132,022.12","12,022.12","3,696.62","8,325.50","4,162.75","6.9%","20.00"
"","Fierce Dark Filament","Jita","4","78,999.99","315,999.96","Amarr","85,513.54","342,054.16","26,054.20","9,577.52","16,476.68","4,119.17","5.2%","0.40"
"","Hammerhead I","Hek","40","28,000.00","1,120,000.00","Jita","33,006.62","1,320,264.80","200,264.80","36,967.41","163,297.39","4,082.43","14.6%","400.00"
"","Datacore - Mechanical Engineering","Hek","72","30,000.00","2,160,000.00","Amarr","35,017.06","2,521,228.32","361,228.32","70,594.39","290,633.93","4,036.58","13.5%","7.20"
"","Limited Energized Explosive Membrane I","Dodixie","1","30,000.00","30,000.00","Jita","35,015.00","35,015.00","5,015.00","980.42","4,034.58","4,034.58","13.4%","5.00"
"","Large 'Hope' Hull Reconstructor I","Hek","5","70,000.00","350,000.00","Dodixie","76,105.03","380,525.15","30,525.15","10,654.70","19,870.45","3,974.09","5.7%","250.00"
"","Gallente Mining Laser","Amarr","4","34,500.00","138,000.00","Jita","39,389.24","157,556.96","19,556.96","4,411.59","15,145.37","3,786.34","11.0%","20.00"
"","200mm Crystalline Carbonide Restrained Plates","Dodixie","2","40,000.00","80,000.00","Amarr","45,017.01","90,034.02","10,034.02","2,520.95","7,513.07","3,756.53","9.4%","20.00"
"","Fermionic Condensates","Jita","50","93,499.94","4,674,997.00","Amarr","100,000.00","5,000,000.00","325,003.00","140,000.00","185,003.00","3,700.06","4.0%","65.00"
"","Datacore - Nuclear Physics","Hek","2","45,000.00","90,000.00","Dodixie","50,025.08","100,050.16","10,050.16","2,801.40","7,248.76","3,624.38","8.1%","0.20"
"","Datacore - Nuclear Physics","Hek","2","45,000.00","90,000.00","Rens","50,020.24","100,040.48","10,040.48","2,801.13","7,239.35","3,619.67","8.0%","0.20"
"","Fullerite-C28","Hek","4,780","5,153.37","24,633,108.60","Amarr","9,011.47","43,074,826.60","18,441,718.00","1,206,095.14","17,235,622.86","3,605.78","70.0%","9,560.00"
"","Heavy Brief Capacitor Overcharge I","Dodixie","10","31,000.98","310,009.80","Jita","35,602.00","356,020.00","46,010.20","9,968.56","36,041.64","3,604.16","11.6%","200.00"
"","Tristan Exoplanets Hunter SKIN","Jita","1","45,000.00","45,000.00","Dodixie","50,000.00","50,000.00","5,000.00","1,400.00","3,600.00","3,600.00","8.0%","0.01"
"","Caldari Navy Captain Insignia V","Rens","1","45,000.00","45,000.00","Dodixie","50,000.00","50,000.00","5,000.00","1,400.00","3,600.00","3,600.00","8.0%","0.10"
"","Imperial Navy Captain Insignia I","Rens","4","46,001.50","184,006.00","Hek","51,001.26","204,005.04","19,999.04","5,712.14","14,286.90","3,571.72","7.8%","0.40"
"","250mm 'Scout' Accelerator Cannon","Dodixie","1","50,000.00","50,000.00","Jita","55,016.11","55,016.11","5,016.11","1,540.45","3,475.66","3,475.66","7.0%","10.00"
"","Women's 'Oculina Carmina' Facial Augmentation","Rens","1","50,000.00","50,000.00","Jita","55,000.00","55,000.00","5,000.00","1,540.00","3,460.00","3,460.00","6.9%","0.10"
"","Fierce Dark Filament","Dodixie","1","79,800.00","79,800.00","Amarr","85,513.54","85,513.54","5,713.54","2,394.38","3,319.16","3,319.16","4.2%","0.10"
"","Limited Ocular Filter","Rens","22","8,999.00","197,978.00","Dodixie","12,555.07","276,211.54","78,233.54","7,733.92","70,499.62","3,204.53","35.6%","22.00"
"","Ammatar Navy Sergeant Major Insignia I","Rens","3","26,000.00","78,000.00","Dodixie","30,000.00","90,000.00","12,000.00","2,520.00","9,480.00","3,160.00","12.2%","0.30"
"","'Collateral' Adaptive Nano Plating I","Jita","14","8,999.00","125,986.00","Amarr","12,500.00","175,000.00","49,014.00","4,900.00","44,114.00","3,151.00","35.0%","70.00"
"","Datacore - Mechanical Engineering","Hek","72","30,000.00","2,160,000.00","Jita","34,040.23","2,450,896.56","290,896.56","68,625.10","222,271.46","3,087.10","10.3%","7.20"
"","Inertial Stabilizers I","Amarr","1,711","8,501.01","14,545,228.11","Jita","11,901.74","20,363,877.14","5,818,649.03","570,188.56","5,248,460.47","3,067.48","36.1%","8,555.00"
"","Domination Silver Tag","Hek","1","1,150.00","1,150.00","Jita","4,301.00","4,301.00","3,151.00","120.43","3,030.57","3,030.57","263.5%","0.10"
"","Kruul's DNA","Amarr","1","2,500.00","2,500.00","Jita","5,674.50","5,674.50","3,174.50","158.89","3,015.61","3,015.61","120.6%","0.10"
"","Ward Console","Jita","8","35,000.03","280,000.24","Dodixie","39,100.05","312,800.40","32,800.16","8,758.41","24,041.75","3,005.22","8.6%","0.08"
"","Gravid Assault Damage Control Mutaplasmid","Dodixie","3","10,001.01","30,003.03","Amarr","13,300.00","39,900.00","9,896.97","1,117.20","8,779.77","2,926.59","29.3%","3.00"
"","Ammatar Navy Sergeant Insignia III","Jita","9","26,251.53","236,263.77","Dodixie","30,000.00","270,000.00","33,736.23","7,560.00","26,176.23","2,908.47","11.1%","0.90"
"","Caldari Navy Captain Insignia V","Jita","2","45,750.00","91,500.00","Dodixie","50,000.00","100,000.00","8,500.00","2,800.00","5,700.00","2,850.00","6.2%","0.20"
"","Agitated Electrical Filament","Jita","4","45,999.00","183,996.00","Dodixie","50,000.00","200,000.00","16,004.00","5,600.00","10,404.00","2,601.00","5.7%","0.40"
"","Republic Fleet Private Insignia V","Amarr","3","46,000.00","138,000.00","Jita","50,000.00","150,000.00","12,000.00","4,200.00","7,800.00","2,600.00","5.7%","0.30"
"","Imperial Navy Captain Insignia I","Rens","4","46,001.50","184,006.00","Dodixie","50,000.00","200,000.00","15,994.00","5,600.00","10,394.00","2,598.50","5.6%","0.40"
"","Small Shield Booster I","Amarr","4","11,500.00","46,000.00","Jita","14,500.00","58,000.00","12,000.00","1,624.00","10,376.00","2,594.00","22.6%","20.00"
"","Plasma Pulse Generator","Jita","118","30,000.00","3,540,000.00","Amarr","33,502.04","3,953,240.72","413,240.72","110,690.74","302,549.98","2,563.98","8.5%","118.00"
"","Gunnery","Jita","1","16,899.00","16,899.00","Amarr","20,000.00","20,000.00","3,101.00","560.00","2,541.00","2,541.00","15.0%","0.01"
"","Regulated Light Electron Phase Cannon I","Rens","1","2,330.00","2,330.00","Jita","5,000.90","5,000.90","2,670.90","140.03","2,530.87","2,530.87","108.6%","5.00"
"","Limited Energized Thermal Membrane I","Dodixie","3","49,000.00","147,000.00","Jita","53,009.10","159,027.30","12,027.30","4,452.76","7,574.54","2,524.85","5.2%","15.00"
"","Domination Brass Tag","Hek","1","2,500.00","2,500.00","Jita","5,101.00","5,101.00","2,601.00","142.83","2,458.17","2,458.17","98.3%","0.10"
"","5MN Microwarpdrive I","Amarr","17","53,001.00","901,017.00","Jita","57,000.01","969,000.17","67,983.17","27,132.00","40,851.17","2,403.01","4.5%","170.00"
"","Fullerite-C540","Jita","172","53,005.58","9,116,959.76","Hek","57,000.00","9,804,000.00","687,040.24","274,512.00","412,528.24","2,398.42","4.5%","1,720.00"
"","Small YF-12a Smartbomb","Dodixie","1","2,000.00","2,000.00","Hek","4,500.00","4,500.00","2,500.00","126.00","2,374.00","2,374.00","118.7%","5.00"
"","Experimental Energized EM Membrane I","Dodixie","1","55,000.00","55,000.00","Jita","59,006.06","59,006.06","4,006.06","1,652.17","2,353.89","2,353.89","4.3%","5.00"
"","Industrial Explosives","Rens","87","53,100.00","4,619,700.00","Dodixie","57,030.25","4,961,631.75","341,931.75","138,925.69","203,006.06","2,333.40","4.4%","522.00"
"","Regulated Light Ion Phase Cannon I","Dodixie","2","22,000.00","44,000.00","Jita","25,000.61","50,001.22","6,001.22","1,400.03","4,601.19","2,300.59","10.5%","10.00"
"","Ferrogel","Jita","200","41,496.00","8,299,200.00","Amarr","45,000.00","9,000,000.00","700,800.00","252,000.00","448,800.00","2,244.00","5.4%","200.00"
"","Caldari Navy Midshipman Insignia II","Rens","3","5,555.00","16,665.00","Dodixie","8,000.00","24,000.00","7,335.00","672.00","6,663.00","2,221.00","40.0%","0.30"
"","Conductive Thermoplastic","Dodixie","11","9,999.86","109,998.46","Jita","12,561.01","138,171.11","28,172.65","3,868.79","24,303.86","2,209.44","22.1%","0.11"
"","Imperial Navy Sergeant Major Insignia I","Jita","6","27,000.00","162,000.00","Dodixie","30,000.00","180,000.00","18,000.00","5,040.00","12,960.00","2,160.00","8.0%","0.60"
"","Caldari Navy Captain Insignia IV","Jita","3","27,000.00","81,000.00","Dodixie","30,000.00","90,000.00","9,000.00","2,520.00","6,480.00","2,160.00","8.0%","0.30"
"","Large 'Accommodation' Vestment Reconstructer I","Dodixie","1","10,000.00","10,000.00","Hek","12,500.00","12,500.00","2,500.00","350.00","2,150.00","2,150.00","21.5%","50.00"
"","Armor Plates","Rens","60","48,500.00","2,910,000.00","Dodixie","52,100.00","3,126,000.00","216,000.00","87,528.00","128,472.00","2,141.20","4.4%","0.60"
"","Initiated Compact Warp Scrambler","Hek","5","35,000.00","175,000.00","Jita","38,171.11","190,855.55","15,855.55","5,343.96","10,511.59","2,102.32","6.0%","25.00"
"","Heavy Afocal Pulse Maser I","Rens","1","30,000.10","30,000.10","Jita","33,024.03","33,024.03","3,023.93","924.67","2,099.26","2,099.26","7.0%","10.00"
"","Angel Electrum Tag","Hek","7","921.00","6,447.00","Jita","3,103.06","21,721.42","15,274.42","608.20","14,666.22","2,095.17","227.5%","0.70"
"","Ward Console","Dodixie","17","44,999.00","764,983.00","Rens","48,400.01","822,800.17","57,817.17","23,038.40","34,778.77","2,045.81","4.5%","0.17"
"","'Scarab' Layered Plating I","Hek","1","1.00","1.00","Jita","2,016.19","2,016.19","2,015.19","56.45","1,958.74","1,958.74","195873.7%","5.00"
"","Initiated Enduring Multispectral ECM","Dodixie","1","1,000.00","1,000.00","Amarr","3,040.00","3,040.00","2,040.00","85.12","1,954.88","1,954.88","195.5%","5.00"
"","200mm Crystalline Carbonide Restrained Plates","Dodixie","2","40,000.00","80,000.00","Jita","43,159.03","86,318.06","6,318.06","2,416.91","3,901.15","1,950.58","4.9%","20.00"
"","Ward Console","Jita","8","35,000.03","280,000.24","Amarr","38,001.28","304,010.24","24,010.00","8,512.29","15,497.71","1,937.21","5.5%","0.08"
"","Fullerite-C32","Hek","1,000","13,100.00","13,100,000.00","Dodixie","15,401.01","15,401,010.00","2,301,010.00","431,228.28","1,869,781.72","1,869.78","14.3%","5,000.00"
"","Ward Console","Jita","9","42,000.00","378,000.00","Hek","45,100.01","405,900.09","27,900.09","11,365.20","16,534.89","1,837.21","4.4%","0.09"
"","Ward Console","Jita","37","45,240.03","1,673,881.11","Rens","48,400.01","1,790,800.37","116,919.26","50,142.41","66,776.85","1,804.78","4.0%","0.37"
"","Caldari Shuttle","Dodixie","3","9,000.00","27,000.00","Jita","11,111.44","33,334.32","6,334.32","933.36","5,400.96","1,800.32","20.0%","15,000.00"
"","J5 Enduring Warp Disruptor","Hek","1","2,800.01","2,800.01","Jita","4,700.00","4,700.00","1,899.99","131.60","1,768.39","1,768.39","63.2%","5.00"
"","Yan Jung Silk Armor","Dodixie","1","33,201.84","33,201.84","Jita","35,970.07","35,970.07","2,768.23","1,007.16","1,761.07","1,761.07","5.3%","1.00"
"","Republic Fleet Midshipman Insignia II","Rens","1","6,046.88","6,046.88","Jita","8,000.00","8,000.00","1,953.12","224.00","1,729.12","1,729.12","28.6%","0.10"
"","Civilian Expanded Cargohold","Rens","1","7,999.99","7,999.99","Jita","10,000.02","10,000.02","2,000.03","280.00","1,720.03","1,720.03","21.5%","5.00"
"","Men's YC119 Yoiul Festival Cap","Dodixie","1","10,000.00","10,000.00","Jita","12,000.05","12,000.05","2,000.05","336.00","1,664.05","1,664.05","16.6%","0.10"
"","Gleaming Alloy","Dodixie","1","50.00","50.00","Jita","1,705.03","1,705.03","1,655.03","47.74","1,607.29","1,607.29","3214.6%","1.00"
"","Limited 'Limos' Rapid Light Missile Launcher","Dodixie","1","13,000.00","13,000.00","Jita","15,000.50","15,000.50","2,000.50","420.01","1,580.49","1,580.49","12.2%","10.00"
"","Imperial Navy Midshipman Insignia III","Rens","10","13,000.00","130,000.00","Dodixie","15,000.00","150,000.00","20,000.00","4,200.00","15,800.00","1,580.00","12.2%","1.00"
"","Initiated Enduring Multispectral ECM","Dodixie","1","1,000.00","1,000.00","Jita","2,608.08","2,608.08","1,608.08","73.03","1,535.05","1,535.05","153.5%","5.00"
"","Coadjunct Scoped Remote Sensor Booster","Hek","11","1,000.00","11,000.00","Jita","2,601.12","28,612.32","17,612.32","801.14","16,811.18","1,528.29","152.8%","55.00"
"","Missile Guidance Computer I","Hek","345","15,000.00","5,175,000.00","Jita","17,000.01","5,865,003.45","690,003.45","164,220.10","525,783.35","1,524.01","10.2%","1,725.00"
"","Vermillion Mykoserocin","Rens","370","6,250.00","2,312,500.00","Jita","7,971.00","2,949,270.00","636,770.00","82,579.56","554,190.44","1,497.81","24.0%","3,700.00"
"","Fullerite-C28","Hek","4,780","5,153.37","24,633,108.60","Rens","6,842.00","32,704,760.00","8,071,651.40","915,733.28","7,155,918.12","1,497.05","29.1%","9,560.00"
"","Tourists","Amarr","20","2,000.00","40,000.00","Dodixie","3,555.00","71,100.00","31,100.00","1,990.80","29,109.20","1,455.46","72.8%","20.00"
"","Heat Sink I","Jita","59","20,999.99","1,238,999.41","Dodixie","23,100.00","1,362,900.00","123,900.59","38,161.20","85,739.39","1,453.21","6.9%","295.00"
